date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:32	23869/23869	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:32%20GMT	https://nz.talent.com/publishers	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/publishers.html	(from https://nz.talent.com/tax-calculator)
13:50:33	16807/16807	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:33%20GMT	https://nz.talent.com/posting-policy	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/posting-policy.html	(from https://nz.talent.com/tax-calculator)
13:50:33	15906/15906	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:33%20GMT	https://nz.talent.com/contact	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/contact.html	(from https://nz.talent.com/tax-calculator)
13:50:34	31768/31768	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:33%20GMT	https://nz.talent.com/worldwide	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/worldwide.html	(from https://nz.talent.com/tax-calculator)
13:50:34	54863/54863	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:34%20GMT	https://nz.talent.com/tos	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tos.html	(from https://nz.talent.com/tax-calculator)
13:50:35	50929/50929	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:34%20GMT	https://nz.talent.com/careers	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/careers.html	(from https://nz.talent.com/tax-calculator)
13:50:35	1106/1106	---M--	200	added ('OK')	image/png	etag:%22452-5c2c5fbd47cf8%22	https://nz.talent.com/public/assets/img/icon-talent-t-logo.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/icon-talent-t-logo.png	(from https://nz.talent.com/tax-calculator)
13:50:35	11587/11587	---M--	200	added ('OK')	image/png	etag:%222d43-5c2c5fbd47cf8%22	https://nz.talent.com/public/assets/img/error.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/error.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:35	1283/1283	---M--	200	added ('OK')	image/png	etag:%22503-5c2c5fbd47cf8%22	https://nz.talent.com/public/assets/img/fav_1.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/fav_1.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:36	1264/1264	---M--	200	added ('OK')	image/png	etag:%224f0-5c2c5fbd47cf8%22	https://nz.talent.com/public/assets/img/fav_1_hover.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/fav_1_hover.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:36	1311/1311	---M--	200	added ('OK')	image/png	etag:%2251f-5c2c5fbd47cf8%22	https://nz.talent.com/public/assets/img/fav_2.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/fav_2.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:36	1218/1218	---M--	200	added ('OK')	image/png	etag:%224c2-5c2c5fbd47cf8%22	https://nz.talent.com/public/assets/img/fav_2_hover.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/fav_2_hover.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:36	814/814	---M--	200	added ('OK')	image/png	etag:%2232e-5c2c5fbd45db8%22	https://nz.talent.com/public/assets/img/PIN.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/PIN.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:37	11875/11875	---M--	200	added ('OK')	image/png	etag:%222e63-5c2c5fbd48c98%22	https://nz.talent.com/public/assets/img/success.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/success.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:37	1455/1455	---M--	200	added ('OK')	image/png	etag:%225af-5c2c5fbd48c98%22	https://nz.talent.com/public/assets/img/preview_close.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/preview_close.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:37	1472/1472	---M--	200	added ('OK')	image/png	etag:%225c0-5c2c5fbd47cf8%22	https://nz.talent.com/public/assets/img/hover_close.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/hover_close.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:37	1121/1121	---M--	200	added ('OK')	image/png	etag:%22461-5c2c5fbd47cf8%22	https://nz.talent.com/public/assets/img/hide.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/hide.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:38	917/917	---M--	200	added ('OK')	image/png	etag:%22395-5c2c5fbd48c98%22	https://nz.talent.com/public/assets/img/show.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/show.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:38	380/380	---M--	200	added ('OK')	image/png	etag:%2217c-5c2c5fbd47cf8%22	https://nz.talent.com/public/assets/img/down_arrow.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/down_arrow.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:38	4087/4087	---M--	200	added ('OK')	image/png	etag:%22ff7-5c2c5fbd47cf8%22	https://nz.talent.com/public/assets/img/exclamation__purple.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/exclamation__purple.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:38	478/478	---M--	200	added ('OK')	image/png	etag:%221de-5c2c5fbd47cf8%22	https://nz.talent.com/public/assets/img/close.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/close.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:39	1338/1338	---M--	200	added ('OK')	image/png	etag:%2253a-5c2c5fbd47cf8%22	https://nz.talent.com/public/assets/img/page%20default.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/page%20default.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:39	1351/1351	---M--	200	added ('OK')	image/png	etag:%22547-5c2c5fbd48c98%22	https://nz.talent.com/public/assets/img/page_initial.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/page_initial.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
